sub,condition,story,segment,segment_count,base_seg_num,base_segment,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_type_merge,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0523-4,r0,3,3_01,12.0,2,3_02,0.5,-1.5,1.5,ahead_gap,gap,referred,9,9.0,0.0,3_02_0.5,5.5,-4.125
0523-4,r0,3,3_01,12.0,2,3_02,1.0,-1.0,1.0,target,main,none,12,12.0,0.0,3_02_1.0,5.5,-4.625
0523-4,r0,3,3_01,12.0,2,3_02,1.0,-1.0,1.0,target,main,referred,4,3.0,1.0,3_02_1.0,5.5,-4.625
0523-4,r0,3,3_01,12.0,2,3_02,1.5,-0.5,0.5,gap,gap,referred,1,1.0,1.0,3_02_1.5,5.5,-5.125
0523-4,r0,3,3_02,11.0,3,3_03,0.5,-2.5,2.5,ahead_gap,gap,none,12,12.0,0.0,3_03_0.5,4.5,-3.125
0523-4,r0,3,3_02,11.0,3,3_03,0.5,-2.5,2.5,ahead_gap,gap,referred,8,8.0,0.0,3_03_0.5,4.5,-3.125
0523-4,r0,3,3_02,11.0,3,3_03,1.0,-2.0,2.0,ahead_main,main,none,12,12.0,1.0,3_03_1.0,4.5,-3.625
0523-4,r0,3,3_02,11.0,3,3_03,1.0,-2.0,2.0,ahead_main,main,referred,4,3.0,0.0,3_03_1.0,4.5,-3.625
0523-4,r0,3,3_02,11.0,3,3_03,1.5,-1.5,1.5,ahead_gap,gap,none,1,1.0,0.0,3_03_1.5,4.5,-4.125
0523-4,r0,3,3_02,11.0,3,3_03,2.0,-1.0,1.0,target,main,none,5,4.0,0.0,3_03_2.0,4.5,-4.625
0523-4,r0,3,3_03,10.0,4,3_04,0.5,-3.5,3.5,ahead_gap,gap,none,12,12.0,0.0,3_04_0.5,3.5,-2.125
0523-4,r0,3,3_03,10.0,4,3_04,0.5,-3.5,3.5,ahead_gap,gap,referred,8,8.0,0.0,3_04_0.5,3.5,-2.125
0523-4,r0,3,3_03,10.0,4,3_04,1.0,-3.0,3.0,ahead_main,main,none,12,12.0,0.0,3_04_1.0,3.5,-2.625
0523-4,r0,3,3_03,10.0,4,3_04,1.0,-3.0,3.0,ahead_main,main,referred,4,3.0,0.0,3_04_1.0,3.5,-2.625
0523-4,r0,3,3_03,10.0,4,3_04,1.5,-2.5,2.5,ahead_gap,gap,none,1,1.0,0.0,3_04_1.5,3.5,-3.125
0523-4,r0,3,3_03,10.0,4,3_04,2.0,-2.0,2.0,ahead_main,main,none,5,4.0,0.0,3_04_2.0,3.5,-3.625
0523-4,r0,3,3_03,10.0,4,3_04,3.0,-1.0,1.0,target,main,none,3,3.0,0.0,3_04_3.0,3.5,-4.625
0523-4,r0,3,3_03,10.0,4,3_04,3.0,-1.0,1.0,target,main,referred,5,4.5,0.0,3_04_3.0,3.5,-4.625
0523-4,r0,3,3_03,10.0,4,3_04,3.5,-0.5,0.5,gap,gap,none,1,1.0,0.0,3_04_3.5,3.5,-5.125
0523-4,r0,3,3_03,10.0,4,3_04,3.5,-0.5,0.5,gap,gap,referred,2,2.0,1.0,3_04_3.5,3.5,-5.125
0523-4,r0,3,3_04,9.0,5,3_05,0.5,-4.5,4.5,ahead_gap,gap,none,13,13.0,0.0,3_05_0.5,2.5,-1.125
0523-4,r0,3,3_04,9.0,5,3_05,0.5,-4.5,4.5,ahead_gap,gap,referred,7,7.0,0.0,3_05_0.5,2.5,-1.125
0523-4,r0,3,3_04,9.0,5,3_05,1.0,-4.0,4.0,ahead_main,main,none,12,12.0,0.0,3_05_1.0,2.5,-1.625
0523-4,r0,3,3_04,9.0,5,3_05,1.0,-4.0,4.0,ahead_main,main,referred,4,3.0,0.0,3_05_1.0,2.5,-1.625
0523-4,r0,3,3_04,9.0,5,3_05,1.5,-3.5,3.5,ahead_gap,gap,none,1,1.0,0.0,3_05_1.5,2.5,-2.125
0523-4,r0,3,3_04,9.0,5,3_05,2.0,-3.0,3.0,ahead_main,main,none,5,4.0,0.0,3_05_2.0,2.5,-2.625
0523-4,r0,3,3_04,9.0,5,3_05,3.0,-2.0,2.0,ahead_main,main,none,3,3.0,1.0,3_05_3.0,2.5,-3.625
0523-4,r0,3,3_04,9.0,5,3_05,3.0,-2.0,2.0,ahead_main,main,referred,5,4.5,0.5,3_05_3.0,2.5,-3.625
0523-4,r0,3,3_04,9.0,5,3_05,3.5,-1.5,1.5,ahead_gap,gap,none,3,3.0,0.0,3_05_3.5,2.5,-4.125
0523-4,r0,3,3_04,9.0,5,3_05,4.0,-1.0,1.0,target,main,none,6,5.5,0.0,3_05_4.0,2.5,-4.625
0523-4,r0,3,3_04,9.0,5,3_05,4.5,-0.5,0.5,gap,gap,none,1,1.0,0.0,3_05_4.5,2.5,-5.125
0523-4,r0,3,3_05,8.0,6,3_06,0.5,-5.5,5.5,ahead_gap,gap,none,14,14.0,0.0,3_06_0.5,1.5,-0.125
0523-4,r0,3,3_05,8.0,6,3_06,0.5,-5.5,5.5,ahead_gap,gap,referred,6,6.0,0.0,3_06_0.5,1.5,-0.125
0523-4,r0,3,3_05,8.0,6,3_06,1.0,-5.0,5.0,ahead_main,main,none,12,12.0,0.0,3_06_1.0,1.5,-0.625
0523-4,r0,3,3_05,8.0,6,3_06,1.0,-5.0,5.0,ahead_main,main,referred,4,3.0,0.0,3_06_1.0,1.5,-0.625
0523-4,r0,3,3_05,8.0,6,3_06,1.5,-4.5,4.5,ahead_gap,gap,none,1,1.0,0.0,3_06_1.5,1.5,-1.125
0523-4,r0,3,3_05,8.0,6,3_06,2.0,-4.0,4.0,ahead_main,main,none,5,4.0,0.0,3_06_2.0,1.5,-1.625
0523-4,r0,3,3_05,8.0,6,3_06,3.0,-3.0,3.0,ahead_main,main,none,3,3.0,0.0,3_06_3.0,1.5,-2.625
0523-4,r0,3,3_05,8.0,6,3_06,3.0,-3.0,3.0,ahead_main,main,referred,5,4.5,0.0,3_06_3.0,1.5,-2.625
0523-4,r0,3,3_05,8.0,6,3_06,3.5,-2.5,2.5,ahead_gap,gap,none,3,3.0,0.0,3_06_3.5,1.5,-3.125
0523-4,r0,3,3_05,8.0,6,3_06,4.0,-2.0,2.0,ahead_main,main,none,6,5.5,0.0,3_06_4.0,1.5,-3.625
0523-4,r0,3,3_05,8.0,6,3_06,4.5,-1.5,1.5,ahead_gap,gap,none,1,1.0,0.0,3_06_4.5,1.5,-4.125
0523-4,r0,3,3_05,8.0,6,3_06,5.0,-1.0,1.0,target,main,none,3,2.5,0.0,3_06_5.0,1.5,-4.625
0523-4,r0,3,3_05,8.0,6,3_06,5.5,-0.5,0.5,gap,gap,none,4,4.0,0.0,3_06_5.5,1.5,-5.125
0523-4,r0,3,3_05,8.0,6,3_06,5.5,-0.5,0.5,gap,gap,referred,6,5.5,0.0,3_06_5.5,1.5,-5.125
0523-4,r0,3,3_06,7.0,7,3_07,0.5,-6.5,6.5,ahead_gap,gap,none,14,14.0,0.0,3_07_0.5,0.5,0.875
0523-4,r0,3,3_06,7.0,7,3_07,0.5,-6.5,6.5,ahead_gap,gap,referred,6,6.0,0.0,3_07_0.5,0.5,0.875
0523-4,r0,3,3_06,7.0,7,3_07,1.0,-6.0,6.0,ahead_main,main,none,12,12.0,0.0,3_07_1.0,0.5,0.375
0523-4,r0,3,3_06,7.0,7,3_07,1.0,-6.0,6.0,ahead_main,main,referred,4,3.0,0.0,3_07_1.0,0.5,0.375
0523-4,r0,3,3_06,7.0,7,3_07,1.5,-5.5,5.5,ahead_gap,gap,none,1,1.0,0.0,3_07_1.5,0.5,-0.125
0523-4,r0,3,3_06,7.0,7,3_07,2.0,-5.0,5.0,ahead_main,main,none,5,4.0,0.0,3_07_2.0,0.5,-0.625
0523-4,r0,3,3_06,7.0,7,3_07,3.0,-4.0,4.0,ahead_main,main,none,3,3.0,0.0,3_07_3.0,0.5,-1.625
0523-4,r0,3,3_06,7.0,7,3_07,3.0,-4.0,4.0,ahead_main,main,referred,5,4.5,0.5,3_07_3.0,0.5,-1.625
0523-4,r0,3,3_06,7.0,7,3_07,3.5,-3.5,3.5,ahead_gap,gap,none,3,3.0,0.0,3_07_3.5,0.5,-2.125
0523-4,r0,3,3_06,7.0,7,3_07,4.0,-3.0,3.0,ahead_main,main,none,6,5.5,0.0,3_07_4.0,0.5,-2.625
0523-4,r0,3,3_06,7.0,7,3_07,4.5,-2.5,2.5,ahead_gap,gap,none,1,1.0,0.0,3_07_4.5,0.5,-3.125
0523-4,r0,3,3_06,7.0,7,3_07,5.0,-2.0,2.0,ahead_main,main,none,3,2.5,0.0,3_07_5.0,0.5,-3.625
0523-4,r0,3,3_06,7.0,7,3_07,5.5,-1.5,1.5,ahead_gap,gap,none,8,7.5,0.0,3_07_5.5,0.5,-4.125
0523-4,r0,3,3_06,7.0,7,3_07,5.5,-1.5,1.5,ahead_gap,gap,referred,2,2.0,0.0,3_07_5.5,0.5,-4.125
0523-4,r0,3,3_06,7.0,7,3_07,6.0,-1.0,1.0,target,main,none,11,10.5,0.0,3_07_6.0,0.5,-4.625
0523-4,r0,3,3_06,7.0,7,3_07,6.0,-1.0,1.0,target,main,referred,2,1.5,0.0,3_07_6.0,0.5,-4.625
0523-4,r0,3,3_06,7.0,7,3_07,6.5,-0.5,0.5,gap,gap,none,1,1.0,0.0,3_07_6.5,0.5,-5.125
0523-4,r0,3,3_07,6.0,8,3_08,0.5,-7.5,7.5,ahead_gap,gap,none,16,16.0,0.0,3_08_0.5,-0.5,1.875
0523-4,r0,3,3_07,6.0,8,3_08,0.5,-7.5,7.5,ahead_gap,gap,referred,4,4.0,0.0,3_08_0.5,-0.5,1.875
0523-4,r0,3,3_07,6.0,8,3_08,1.0,-7.0,7.0,ahead_main,main,none,12,12.0,0.0,3_08_1.0,-0.5,1.375
0523-4,r0,3,3_07,6.0,8,3_08,1.0,-7.0,7.0,ahead_main,main,referred,4,3.0,0.0,3_08_1.0,-0.5,1.375
0523-4,r0,3,3_07,6.0,8,3_08,1.5,-6.5,6.5,ahead_gap,gap,none,1,1.0,0.0,3_08_1.5,-0.5,0.875
0523-4,r0,3,3_07,6.0,8,3_08,2.0,-6.0,6.0,ahead_main,main,none,5,4.0,0.0,3_08_2.0,-0.5,0.375
0523-4,r0,3,3_07,6.0,8,3_08,3.0,-5.0,5.0,ahead_main,main,none,4,4.0,0.0,3_08_3.0,-0.5,-0.625
0523-4,r0,3,3_07,6.0,8,3_08,3.0,-5.0,5.0,ahead_main,main,referred,4,3.5,0.0,3_08_3.0,-0.5,-0.625
0523-4,r0,3,3_07,6.0,8,3_08,3.5,-4.5,4.5,ahead_gap,gap,none,3,3.0,0.0,3_08_3.5,-0.5,-1.125
0523-4,r0,3,3_07,6.0,8,3_08,4.0,-4.0,4.0,ahead_main,main,none,6,5.5,0.0,3_08_4.0,-0.5,-1.625
0523-4,r0,3,3_07,6.0,8,3_08,4.5,-3.5,3.5,ahead_gap,gap,none,1,1.0,0.0,3_08_4.5,-0.5,-2.125
0523-4,r0,3,3_07,6.0,8,3_08,5.0,-3.0,3.0,ahead_main,main,none,3,2.5,0.0,3_08_5.0,-0.5,-2.625
0523-4,r0,3,3_07,6.0,8,3_08,5.5,-2.5,2.5,ahead_gap,gap,none,8,7.5,0.0,3_08_5.5,-0.5,-3.125
0523-4,r0,3,3_07,6.0,8,3_08,5.5,-2.5,2.5,ahead_gap,gap,referred,2,2.0,0.0,3_08_5.5,-0.5,-3.125
0523-4,r0,3,3_07,6.0,8,3_08,6.0,-2.0,2.0,ahead_main,main,none,11,10.5,1.0,3_08_6.0,-0.5,-3.625
0523-4,r0,3,3_07,6.0,8,3_08,6.0,-2.0,2.0,ahead_main,main,referred,2,1.5,0.0,3_08_6.0,-0.5,-3.625
0523-4,r0,3,3_07,6.0,8,3_08,6.5,-1.5,1.5,ahead_gap,gap,none,1,1.0,0.0,3_08_6.5,-0.5,-4.125
0523-4,r0,3,3_07,6.0,8,3_08,7.0,-1.0,1.0,target,main,none,5,4.5,0.0,3_08_7.0,-0.5,-4.625
0523-4,r0,3,3_07,6.0,8,3_08,7.0,-1.0,1.0,target,main,referred,3,2.0,0.0,3_08_7.0,-0.5,-4.625
0523-4,r0,3,3_08,5.0,9,3_09,0.5,-8.5,8.5,ahead_gap,gap,none,16,16.0,0.0,3_09_0.5,-1.5,2.875
0523-4,r0,3,3_08,5.0,9,3_09,0.5,-8.5,8.5,ahead_gap,gap,referred,4,4.0,0.0,3_09_0.5,-1.5,2.875
0523-4,r0,3,3_08,5.0,9,3_09,1.0,-8.0,8.0,ahead_main,main,none,12,12.0,0.0,3_09_1.0,-1.5,2.375
0523-4,r0,3,3_08,5.0,9,3_09,1.0,-8.0,8.0,ahead_main,main,referred,4,3.0,0.0,3_09_1.0,-1.5,2.375
0523-4,r0,3,3_08,5.0,9,3_09,1.5,-7.5,7.5,ahead_gap,gap,none,1,1.0,0.0,3_09_1.5,-1.5,1.875
0523-4,r0,3,3_08,5.0,9,3_09,2.0,-7.0,7.0,ahead_main,main,none,5,4.0,0.0,3_09_2.0,-1.5,1.375
0523-4,r0,3,3_08,5.0,9,3_09,3.0,-6.0,6.0,ahead_main,main,none,4,4.0,1.0,3_09_3.0,-1.5,0.375
0523-4,r0,3,3_08,5.0,9,3_09,3.0,-6.0,6.0,ahead_main,main,referred,4,3.5,0.5,3_09_3.0,-1.5,0.375
0523-4,r0,3,3_08,5.0,9,3_09,3.5,-5.5,5.5,ahead_gap,gap,none,3,3.0,0.0,3_09_3.5,-1.5,-0.125
0523-4,r0,3,3_08,5.0,9,3_09,4.0,-5.0,5.0,ahead_main,main,none,6,5.5,0.0,3_09_4.0,-1.5,-0.625
0523-4,r0,3,3_08,5.0,9,3_09,4.5,-4.5,4.5,ahead_gap,gap,none,1,1.0,0.0,3_09_4.5,-1.5,-1.125
0523-4,r0,3,3_08,5.0,9,3_09,5.0,-4.0,4.0,ahead_main,main,none,3,2.5,0.0,3_09_5.0,-1.5,-1.625
0523-4,r0,3,3_08,5.0,9,3_09,5.5,-3.5,3.5,ahead_gap,gap,none,9,8.5,0.0,3_09_5.5,-1.5,-2.125
0523-4,r0,3,3_08,5.0,9,3_09,5.5,-3.5,3.5,ahead_gap,gap,referred,1,1.0,0.0,3_09_5.5,-1.5,-2.125
0523-4,r0,3,3_08,5.0,9,3_09,6.0,-3.0,3.0,ahead_main,main,none,11,10.5,0.0,3_09_6.0,-1.5,-2.625
0523-4,r0,3,3_08,5.0,9,3_09,6.0,-3.0,3.0,ahead_main,main,referred,2,1.5,0.0,3_09_6.0,-1.5,-2.625
0523-4,r0,3,3_08,5.0,9,3_09,6.5,-2.5,2.5,ahead_gap,gap,none,1,1.0,0.0,3_09_6.5,-1.5,-3.125
0523-4,r0,3,3_08,5.0,9,3_09,7.0,-2.0,2.0,ahead_main,main,none,5,4.5,0.0,3_09_7.0,-1.5,-3.625
0523-4,r0,3,3_08,5.0,9,3_09,7.0,-2.0,2.0,ahead_main,main,referred,3,2.0,0.0,3_09_7.0,-1.5,-3.625
0523-4,r0,3,3_08,5.0,9,3_09,8.0,-1.0,1.0,target,main,none,2,2.0,0.0,3_09_8.0,-1.5,-4.625
0523-4,r0,3,3_09,4.0,10,3_10,0.5,-9.5,9.5,ahead_gap,gap,none,16,16.0,0.0,3_10_0.5,-2.5,3.875
0523-4,r0,3,3_09,4.0,10,3_10,0.5,-9.5,9.5,ahead_gap,gap,referred,4,4.0,0.0,3_10_0.5,-2.5,3.875
0523-4,r0,3,3_09,4.0,10,3_10,1.0,-9.0,9.0,ahead_main,main,none,12,12.0,0.0,3_10_1.0,-2.5,3.375
0523-4,r0,3,3_09,4.0,10,3_10,1.0,-9.0,9.0,ahead_main,main,referred,4,3.0,0.0,3_10_1.0,-2.5,3.375
0523-4,r0,3,3_09,4.0,10,3_10,1.5,-8.5,8.5,ahead_gap,gap,none,1,1.0,0.0,3_10_1.5,-2.5,2.875
0523-4,r0,3,3_09,4.0,10,3_10,2.0,-8.0,8.0,ahead_main,main,none,5,4.0,0.0,3_10_2.0,-2.5,2.375
0523-4,r0,3,3_09,4.0,10,3_10,3.0,-7.0,7.0,ahead_main,main,none,4,4.0,0.0,3_10_3.0,-2.5,1.375
0523-4,r0,3,3_09,4.0,10,3_10,3.0,-7.0,7.0,ahead_main,main,referred,4,3.5,0.5,3_10_3.0,-2.5,1.375
0523-4,r0,3,3_09,4.0,10,3_10,3.5,-6.5,6.5,ahead_gap,gap,none,3,3.0,0.0,3_10_3.5,-2.5,0.875
0523-4,r0,3,3_09,4.0,10,3_10,4.0,-6.0,6.0,ahead_main,main,none,6,5.5,0.0,3_10_4.0,-2.5,0.375
0523-4,r0,3,3_09,4.0,10,3_10,4.5,-5.5,5.5,ahead_gap,gap,none,1,1.0,0.0,3_10_4.5,-2.5,-0.125
0523-4,r0,3,3_09,4.0,10,3_10,5.0,-5.0,5.0,ahead_main,main,none,3,2.5,0.5,3_10_5.0,-2.5,-0.625
0523-4,r0,3,3_09,4.0,10,3_10,5.5,-4.5,4.5,ahead_gap,gap,none,9,8.5,0.0,3_10_5.5,-2.5,-1.125
0523-4,r0,3,3_09,4.0,10,3_10,5.5,-4.5,4.5,ahead_gap,gap,referred,1,1.0,0.0,3_10_5.5,-2.5,-1.125
0523-4,r0,3,3_09,4.0,10,3_10,6.0,-4.0,4.0,ahead_main,main,none,11,10.5,0.0,3_10_6.0,-2.5,-1.625
0523-4,r0,3,3_09,4.0,10,3_10,6.0,-4.0,4.0,ahead_main,main,referred,2,1.5,0.0,3_10_6.0,-2.5,-1.625
0523-4,r0,3,3_09,4.0,10,3_10,6.5,-3.5,3.5,ahead_gap,gap,none,1,1.0,0.0,3_10_6.5,-2.5,-2.125
0523-4,r0,3,3_09,4.0,10,3_10,7.0,-3.0,3.0,ahead_main,main,none,5,4.5,0.0,3_10_7.0,-2.5,-2.625
0523-4,r0,3,3_09,4.0,10,3_10,7.0,-3.0,3.0,ahead_main,main,referred,3,2.0,0.0,3_10_7.0,-2.5,-2.625
0523-4,r0,3,3_09,4.0,10,3_10,8.0,-2.0,2.0,ahead_main,main,none,2,2.0,0.0,3_10_8.0,-2.5,-3.625
0523-4,r0,3,3_09,4.0,10,3_10,9.0,-1.0,1.0,target,main,none,1,1.0,0.0,3_10_9.0,-2.5,-4.625
0523-4,r0,3,3_09,4.0,10,3_10,9.5,-0.5,0.5,gap,gap,referred,3,2.5,1.5,3_10_9.5,-2.5,-5.125
0523-4,r0,3,3_10,3.0,11,3_11,0.5,-10.5,10.5,ahead_gap,gap,none,17,17.0,1.0,3_11_0.5,-3.5,4.875
0523-4,r0,3,3_10,3.0,11,3_11,0.5,-10.5,10.5,ahead_gap,gap,referred,3,3.0,0.0,3_11_0.5,-3.5,4.875
0523-4,r0,3,3_10,3.0,11,3_11,1.0,-10.0,10.0,ahead_main,main,none,15,14.0,0.0,3_11_1.0,-3.5,4.375
0523-4,r0,3,3_10,3.0,11,3_11,1.0,-10.0,10.0,ahead_main,main,referred,1,1.0,0.0,3_11_1.0,-3.5,4.375
0523-4,r0,3,3_10,3.0,11,3_11,1.5,-9.5,9.5,ahead_gap,gap,none,1,1.0,0.0,3_11_1.5,-3.5,3.875
0523-4,r0,3,3_10,3.0,11,3_11,2.0,-9.0,9.0,ahead_main,main,none,5,4.0,0.0,3_11_2.0,-3.5,3.375
0523-4,r0,3,3_10,3.0,11,3_11,3.0,-8.0,8.0,ahead_main,main,none,8,7.5,0.0,3_11_3.0,-3.5,2.375
0523-4,r0,3,3_10,3.0,11,3_11,3.5,-7.5,7.5,ahead_gap,gap,none,3,3.0,0.0,3_11_3.5,-3.5,1.875
0523-4,r0,3,3_10,3.0,11,3_11,4.0,-7.0,7.0,ahead_main,main,none,6,5.5,0.0,3_11_4.0,-3.5,1.375
0523-4,r0,3,3_10,3.0,11,3_11,4.5,-6.5,6.5,ahead_gap,gap,none,1,1.0,0.0,3_11_4.5,-3.5,0.875
0523-4,r0,3,3_10,3.0,11,3_11,5.0,-6.0,6.0,ahead_main,main,none,3,2.5,0.0,3_11_5.0,-3.5,0.375
0523-4,r0,3,3_10,3.0,11,3_11,5.5,-5.5,5.5,ahead_gap,gap,none,9,8.5,0.0,3_11_5.5,-3.5,-0.125
0523-4,r0,3,3_10,3.0,11,3_11,5.5,-5.5,5.5,ahead_gap,gap,referred,1,1.0,0.0,3_11_5.5,-3.5,-0.125
0523-4,r0,3,3_10,3.0,11,3_11,6.0,-5.0,5.0,ahead_main,main,none,13,12.0,0.0,3_11_6.0,-3.5,-0.625
0523-4,r0,3,3_10,3.0,11,3_11,6.5,-4.5,4.5,ahead_gap,gap,none,1,1.0,0.0,3_11_6.5,-3.5,-1.125
0523-4,r0,3,3_10,3.0,11,3_11,7.0,-4.0,4.0,ahead_main,main,none,5,4.5,0.0,3_11_7.0,-3.5,-1.625
0523-4,r0,3,3_10,3.0,11,3_11,7.0,-4.0,4.0,ahead_main,main,referred,3,2.0,0.0,3_11_7.0,-3.5,-1.625
0523-4,r0,3,3_10,3.0,11,3_11,8.0,-3.0,3.0,ahead_main,main,none,2,2.0,0.0,3_11_8.0,-3.5,-2.625
0523-4,r0,3,3_10,3.0,11,3_11,9.0,-2.0,2.0,ahead_main,main,none,1,1.0,0.0,3_11_9.0,-3.5,-3.625
0523-4,r0,3,3_10,3.0,11,3_11,9.5,-1.5,1.5,ahead_gap,gap,none,3,2.5,0.0,3_11_9.5,-3.5,-4.125
0523-4,r0,3,3_10,3.0,11,3_11,10.0,-1.0,1.0,target,main,none,10,9.0,0.0,3_11_10.0,-3.5,-4.625
0523-4,r0,3,3_10,3.0,11,3_11,10.5,-0.5,0.5,gap,gap,none,1,1.0,0.0,3_11_10.5,-3.5,-5.125
0523-4,r0,3,3_10,3.0,11,3_11,10.5,-0.5,0.5,gap,gap,referred,4,4.0,0.0,3_11_10.5,-3.5,-5.125
0523-4,r0,3,3_11,2.0,12,3_12,0.5,-11.5,11.5,ahead_gap,gap,none,17,17.0,0.0,3_12_0.5,-4.5,5.875
0523-4,r0,3,3_11,2.0,12,3_12,0.5,-11.5,11.5,ahead_gap,gap,referred,3,3.0,1.0,3_12_0.5,-4.5,5.875
0523-4,r0,3,3_11,2.0,12,3_12,1.0,-11.0,11.0,ahead_main,main,none,15,14.0,0.0,3_12_1.0,-4.5,5.375
0523-4,r0,3,3_11,2.0,12,3_12,1.0,-11.0,11.0,ahead_main,main,referred,1,1.0,0.0,3_12_1.0,-4.5,5.375
0523-4,r0,3,3_11,2.0,12,3_12,1.5,-10.5,10.5,ahead_gap,gap,none,1,1.0,1.0,3_12_1.5,-4.5,4.875
0523-4,r0,3,3_11,2.0,12,3_12,2.0,-10.0,10.0,ahead_main,main,none,5,4.0,0.0,3_12_2.0,-4.5,4.375
0523-4,r0,3,3_11,2.0,12,3_12,3.0,-9.0,9.0,ahead_main,main,none,8,7.5,0.0,3_12_3.0,-4.5,3.375
0523-4,r0,3,3_11,2.0,12,3_12,3.5,-8.5,8.5,ahead_gap,gap,none,3,3.0,0.0,3_12_3.5,-4.5,2.875
0523-4,r0,3,3_11,2.0,12,3_12,4.0,-8.0,8.0,ahead_main,main,none,6,5.5,0.0,3_12_4.0,-4.5,2.375
0523-4,r0,3,3_11,2.0,12,3_12,4.5,-7.5,7.5,ahead_gap,gap,none,1,1.0,0.0,3_12_4.5,-4.5,1.875
0523-4,r0,3,3_11,2.0,12,3_12,5.0,-7.0,7.0,ahead_main,main,none,3,2.5,0.0,3_12_5.0,-4.5,1.375
0523-4,r0,3,3_11,2.0,12,3_12,5.5,-6.5,6.5,ahead_gap,gap,none,9,8.5,0.0,3_12_5.5,-4.5,0.875
0523-4,r0,3,3_11,2.0,12,3_12,5.5,-6.5,6.5,ahead_gap,gap,referred,1,1.0,0.0,3_12_5.5,-4.5,0.875
0523-4,r0,3,3_11,2.0,12,3_12,6.0,-6.0,6.0,ahead_main,main,none,13,12.0,0.0,3_12_6.0,-4.5,0.375
0523-4,r0,3,3_11,2.0,12,3_12,6.5,-5.5,5.5,ahead_gap,gap,none,1,1.0,0.0,3_12_6.5,-4.5,-0.125
0523-4,r0,3,3_11,2.0,12,3_12,7.0,-5.0,5.0,ahead_main,main,none,5,4.5,0.0,3_12_7.0,-4.5,-0.625
0523-4,r0,3,3_11,2.0,12,3_12,7.0,-5.0,5.0,ahead_main,main,referred,3,2.0,2.0,3_12_7.0,-4.5,-0.625
0523-4,r0,3,3_11,2.0,12,3_12,8.0,-4.0,4.0,ahead_main,main,none,2,2.0,0.0,3_12_8.0,-4.5,-1.625
0523-4,r0,3,3_11,2.0,12,3_12,9.0,-3.0,3.0,ahead_main,main,none,1,1.0,0.0,3_12_9.0,-4.5,-2.625
0523-4,r0,3,3_11,2.0,12,3_12,9.5,-2.5,2.5,ahead_gap,gap,none,3,2.5,0.0,3_12_9.5,-4.5,-3.125
0523-4,r0,3,3_11,2.0,12,3_12,10.0,-2.0,2.0,ahead_main,main,none,10,9.0,0.0,3_12_10.0,-4.5,-3.625
0523-4,r0,3,3_11,2.0,12,3_12,10.5,-1.5,1.5,ahead_gap,gap,none,5,5.0,0.0,3_12_10.5,-4.5,-4.125
0523-4,r0,3,3_11,2.0,12,3_12,11.0,-1.0,1.0,target,main,none,6,5.5,0.0,3_12_11.0,-4.5,-4.625
0523-4,r0,3,3_11,2.0,12,3_12,11.5,-0.5,0.5,gap,gap,none,2,2.0,0.0,3_12_11.5,-4.5,-5.125
0523-4,r0,3,3_11,2.0,12,3_12,11.5,-0.5,0.5,gap,gap,referred,8,7.5,0.0,3_12_11.5,-4.5,-5.125
0523-4,r0,3,3_12,1.0,13,3_13,0.5,-12.5,12.5,ahead_gap,gap,none,19,19.0,0.0,3_13_0.5,-5.5,6.875
0523-4,r0,3,3_12,1.0,13,3_13,0.5,-12.5,12.5,ahead_gap,gap,referred,1,1.0,0.0,3_13_0.5,-5.5,6.875
0523-4,r0,3,3_12,1.0,13,3_13,1.0,-12.0,12.0,ahead_main,main,none,15,14.0,0.0,3_13_1.0,-5.5,6.375
0523-4,r0,3,3_12,1.0,13,3_13,1.0,-12.0,12.0,ahead_main,main,referred,1,1.0,0.0,3_13_1.0,-5.5,6.375
0523-4,r0,3,3_12,1.0,13,3_13,1.5,-11.5,11.5,ahead_gap,gap,none,1,1.0,0.0,3_13_1.5,-5.5,5.875
0523-4,r0,3,3_12,1.0,13,3_13,2.0,-11.0,11.0,ahead_main,main,none,5,4.0,0.0,3_13_2.0,-5.5,5.375
0523-4,r0,3,3_12,1.0,13,3_13,3.0,-10.0,10.0,ahead_main,main,none,8,7.5,0.0,3_13_3.0,-5.5,4.375
0523-4,r0,3,3_12,1.0,13,3_13,3.5,-9.5,9.5,ahead_gap,gap,none,3,3.0,0.0,3_13_3.5,-5.5,3.875
0523-4,r0,3,3_12,1.0,13,3_13,4.0,-9.0,9.0,ahead_main,main,none,6,5.5,0.0,3_13_4.0,-5.5,3.375
0523-4,r0,3,3_12,1.0,13,3_13,4.5,-8.5,8.5,ahead_gap,gap,none,1,1.0,0.0,3_13_4.5,-5.5,2.875
0523-4,r0,3,3_12,1.0,13,3_13,5.0,-8.0,8.0,ahead_main,main,none,3,2.5,0.0,3_13_5.0,-5.5,2.375
0523-4,r0,3,3_12,1.0,13,3_13,5.5,-7.5,7.5,ahead_gap,gap,none,9,8.5,0.0,3_13_5.5,-5.5,1.875
0523-4,r0,3,3_12,1.0,13,3_13,5.5,-7.5,7.5,ahead_gap,gap,referred,1,1.0,0.0,3_13_5.5,-5.5,1.875
0523-4,r0,3,3_12,1.0,13,3_13,6.0,-7.0,7.0,ahead_main,main,none,13,12.0,0.0,3_13_6.0,-5.5,1.375
