sub,condition,story,segment,segment_count,base_seg_num,base_segment,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,rr_type,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0118-1,p0,2,2_08,7,7,2_07,11.0,4.0,4.0,ahead_main,main,referring,2,2.0,0.0,2_07_11.0,1.5,0.75
0118-1,p0,2,2_10,9,9,2_09,10.0,1.0,1.0,target,main,none,6,5.5,0.0,2_09_10.0,3.5,-2.25
0118-1,p0,2,2_10,9,9,2_09,10.0,1.0,1.0,target,main,referred,1,1.0,1.0,2_09_10.0,3.5,-2.25
0118-1,p0,2,2_10,9,9,2_09,11.0,2.0,2.0,ahead_main,main,none,6,5.5,0.0,2_09_11.0,3.5,-1.25
0118-1,p0,2,2_10,9,9,2_09,11.0,2.0,2.0,ahead_main,main,referring,3,2.5,0.0,2_09_11.0,3.5,-1.25
0118-1,r0,1,1_02,9,3,1_03,1.0,-2.0,2.0,ahead_main,main,none,4,4.0,0.0,1_03_1.0,3.5,-1.25
0118-1,r0,1,1_02,9,3,1_03,2.0,-1.0,1.0,target,main,none,4,4.0,1.0,1_03_2.0,3.5,-2.25
0118-1,r0,1,1_02,9,3,1_03,2.0,-1.0,1.0,target,main,referred,3,2.5,1.5,1_03_2.0,3.5,-2.25
0118-1,r0,1,1_02,9,3,1_03,2.0,-1.0,1.0,target,main,referring,1,1.0,0.0,1_03_2.0,3.5,-2.25
0118-1,r0,1,1_04,7,5,1_05,1.0,-4.0,4.0,ahead_main,main,none,4,4.0,0.0,1_05_1.0,1.5,0.75
0118-1,r0,1,1_04,7,5,1_05,2.0,-3.0,3.0,ahead_main,main,none,8,7.5,0.0,1_05_2.0,1.5,-0.25
0118-1,r0,1,1_04,7,5,1_05,3.0,-2.0,2.0,ahead_main,main,none,6,6.0,0.0,1_05_3.0,1.5,-1.25
0118-1,r0,1,1_04,7,5,1_05,4.0,-1.0,1.0,target,main,none,8,7.5,2.5,1_05_4.0,1.5,-2.25
0118-1,r0,1,1_04,7,5,1_05,4.0,-1.0,1.0,target,main,referring,1,1.0,0.0,1_05_4.0,1.5,-2.25
0118-1,r0,1,1_06,5,7,1_07,1.0,-6.0,6.0,ahead_main,main,none,4,4.0,0.0,1_07_1.0,-0.5,2.75
0118-1,r0,1,1_06,5,7,1_07,2.0,-5.0,5.0,ahead_main,main,none,8,7.5,0.0,1_07_2.0,-0.5,1.75
0118-1,r0,1,1_06,5,7,1_07,3.0,-4.0,4.0,ahead_main,main,none,6,6.0,0.0,1_07_3.0,-0.5,0.75
0118-1,r0,1,1_06,5,7,1_07,4.0,-3.0,3.0,ahead_main,main,none,9,8.5,0.0,1_07_4.0,-0.5,-0.25
0118-1,r0,1,1_06,5,7,1_07,5.0,-2.0,2.0,ahead_main,main,none,5,5.0,0.0,1_07_5.0,-0.5,-1.25
0118-1,r0,1,1_06,5,7,1_07,5.0,-2.0,2.0,ahead_main,main,referred,3,3.0,3.0,1_07_5.0,-0.5,-1.25
0118-1,r0,1,1_06,5,7,1_07,6.0,-1.0,1.0,target,main,none,7,6.5,0.0,1_07_6.0,-0.5,-2.25
0118-1,r0,1,1_06,5,7,1_07,6.0,-1.0,1.0,target,main,referred,1,0.5,0.5,1_07_6.0,-0.5,-2.25
0118-1,r0,1,1_08,3,9,1_09,1.0,-8.0,8.0,ahead_main,main,none,4,4.0,0.0,1_09_1.0,-2.5,4.75
0118-1,r0,1,1_08,3,9,1_09,2.0,-7.0,7.0,ahead_main,main,none,8,7.5,0.0,1_09_2.0,-2.5,3.75
0118-1,r0,1,1_08,3,9,1_09,3.0,-6.0,6.0,ahead_main,main,none,6,6.0,0.0,1_09_3.0,-2.5,2.75
0118-1,r0,1,1_08,3,9,1_09,4.0,-5.0,5.0,ahead_main,main,none,9,8.5,0.0,1_09_4.0,-2.5,1.75
0118-1,r0,1,1_08,3,9,1_09,5.0,-4.0,4.0,ahead_main,main,none,8,8.0,0.0,1_09_5.0,-2.5,0.75
0118-1,r0,1,1_08,3,9,1_09,6.0,-3.0,3.0,ahead_main,main,none,8,7.0,0.0,1_09_6.0,-2.5,-0.25
0118-1,r0,1,1_08,3,9,1_09,7.0,-2.0,2.0,ahead_main,main,none,6,5.5,0.0,1_09_7.0,-2.5,-1.25
0118-1,r0,1,1_08,3,9,1_09,8.0,-1.0,1.0,target,main,none,6,4.5,1.5,1_09_8.0,-2.5,-2.25
0118-1,r0,1,1_08,3,9,1_09,8.0,-1.0,1.0,target,main,referring,1,1.0,0.0,1_09_8.0,-2.5,-2.25
0118-1,r0,1,1_10,1,11,1_11,1.0,-10.0,10.0,ahead_main,main,none,4,4.0,0.0,1_11_1.0,-4.5,6.75
0118-1,r0,1,1_10,1,11,1_11,2.0,-9.0,9.0,ahead_main,main,none,8,7.5,0.0,1_11_2.0,-4.5,5.75
0118-1,r0,1,1_10,1,11,1_11,3.0,-8.0,8.0,ahead_main,main,none,6,6.0,0.0,1_11_3.0,-4.5,4.75
0118-1,r0,1,1_10,1,11,1_11,4.0,-7.0,7.0,ahead_main,main,none,9,8.5,0.0,1_11_4.0,-4.5,3.75
0118-1,r0,1,1_10,1,11,1_11,5.0,-6.0,6.0,ahead_main,main,none,8,8.0,0.0,1_11_5.0,-4.5,2.75
0118-1,r0,1,1_10,1,11,1_11,6.0,-5.0,5.0,ahead_main,main,none,8,7.0,0.0,1_11_6.0,-4.5,1.75
0118-1,r0,1,1_10,1,11,1_11,7.0,-4.0,4.0,ahead_main,main,none,6,5.5,0.0,1_11_7.0,-4.5,0.75
0118-1,r0,1,1_10,1,11,1_11,8.0,-3.0,3.0,ahead_main,main,none,7,5.5,0.0,1_11_8.0,-4.5,-0.25
0118-1,r0,1,1_10,1,11,1_11,9.0,-2.0,2.0,ahead_main,main,none,6,5.0,0.0,1_11_9.0,-4.5,-1.25
0118-1,r0,1,1_10,1,11,1_11,10.0,-1.0,1.0,target,main,none,1,1.0,0.0,1_11_10.0,-4.5,-2.25
0118-1,r0,1,1_10,1,11,1_11,10.0,-1.0,1.0,target,main,referred,3,2.5,0.0,1_11_10.0,-4.5,-2.25
0118-2,p0,1,1_02,1,1,1_01,2.0,1.0,1.0,target,main,none,7,7.0,0.0,1_01_2.0,-4.5,-2.25
0118-2,p0,1,1_02,1,1,1_01,2.0,1.0,1.0,target,main,referred,1,0.5,0.5,1_01_2.0,-4.5,-2.25
0118-2,p0,1,1_02,1,1,1_01,3.0,2.0,2.0,ahead_main,main,none,6,6.0,0.0,1_01_3.0,-4.5,-1.25
0118-2,p0,1,1_02,1,1,1_01,4.0,3.0,3.0,ahead_main,main,none,9,8.5,0.0,1_01_4.0,-4.5,-0.25
0118-2,p0,1,1_02,1,1,1_01,5.0,4.0,4.0,ahead_main,main,none,8,8.0,0.0,1_01_5.0,-4.5,0.75
0118-2,p0,1,1_02,1,1,1_01,6.0,5.0,5.0,ahead_main,main,none,8,7.0,0.0,1_01_6.0,-4.5,1.75
0118-2,p0,1,1_02,1,1,1_01,7.0,6.0,6.0,ahead_main,main,none,6,5.5,0.0,1_01_7.0,-4.5,2.75
0118-2,p0,1,1_02,1,1,1_01,8.0,7.0,7.0,ahead_main,main,none,7,5.5,0.0,1_01_8.0,-4.5,3.75
0118-2,p0,1,1_02,1,1,1_01,9.0,8.0,8.0,ahead_main,main,none,6,5.0,0.0,1_01_9.0,-4.5,4.75
0118-2,p0,1,1_02,1,1,1_01,10.0,9.0,9.0,ahead_main,main,none,4,3.5,0.0,1_01_10.0,-4.5,5.75
0118-2,p0,1,1_02,1,1,1_01,11.0,10.0,10.0,ahead_main,main,none,9,9.0,0.0,1_01_11.0,-4.5,6.75
0118-2,p0,1,1_04,3,3,1_03,4.0,1.0,1.0,target,main,none,8,7.5,0.0,1_03_4.0,-2.5,-2.25
0118-2,p0,1,1_04,3,3,1_03,4.0,1.0,1.0,target,main,referring,1,1.0,0.0,1_03_4.0,-2.5,-2.25
0118-2,p0,1,1_04,3,3,1_03,5.0,2.0,2.0,ahead_main,main,none,8,8.0,0.0,1_03_5.0,-2.5,-1.25
0118-2,p0,1,1_04,3,3,1_03,6.0,3.0,3.0,ahead_main,main,none,8,7.0,0.0,1_03_6.0,-2.5,-0.25
0118-2,p0,1,1_04,3,3,1_03,7.0,4.0,4.0,ahead_main,main,none,6,5.5,0.0,1_03_7.0,-2.5,0.75
0118-2,p0,1,1_04,3,3,1_03,8.0,5.0,5.0,ahead_main,main,none,7,5.5,0.0,1_03_8.0,-2.5,1.75
0118-2,p0,1,1_04,3,3,1_03,9.0,6.0,6.0,ahead_main,main,none,6,5.0,0.0,1_03_9.0,-2.5,2.75
0118-2,p0,1,1_04,3,3,1_03,10.0,7.0,7.0,ahead_main,main,none,4,3.5,0.0,1_03_10.0,-2.5,3.75
0118-2,p0,1,1_04,3,3,1_03,11.0,8.0,8.0,ahead_main,main,none,9,9.0,0.0,1_03_11.0,-2.5,4.75
0118-2,p0,1,1_06,5,5,1_05,6.0,1.0,1.0,target,main,none,7,6.5,0.0,1_05_6.0,-0.5,-2.25
0118-2,p0,1,1_06,5,5,1_05,6.0,1.0,1.0,target,main,referred,1,0.5,0.0,1_05_6.0,-0.5,-2.25
0118-2,p0,1,1_06,5,5,1_05,7.0,2.0,2.0,ahead_main,main,none,5,4.5,0.0,1_05_7.0,-0.5,-1.25
0118-2,p0,1,1_06,5,5,1_05,7.0,2.0,2.0,ahead_main,main,referring,1,1.0,0.0,1_05_7.0,-0.5,-1.25
0118-2,p0,1,1_06,5,5,1_05,8.0,3.0,3.0,ahead_main,main,none,7,5.5,0.0,1_05_8.0,-0.5,-0.25
0118-2,p0,1,1_06,5,5,1_05,9.0,4.0,4.0,ahead_main,main,none,6,5.0,0.0,1_05_9.0,-0.5,0.75
0118-2,p0,1,1_06,5,5,1_05,10.0,5.0,5.0,ahead_main,main,none,4,3.5,0.0,1_05_10.0,-0.5,1.75
0118-2,p0,1,1_06,5,5,1_05,11.0,6.0,6.0,ahead_main,main,none,9,9.0,0.0,1_05_11.0,-0.5,2.75
0118-2,p0,1,1_08,7,7,1_07,8.0,1.0,1.0,target,main,none,5,4.0,0.5,1_07_8.0,1.5,-2.25
0118-2,p0,1,1_08,7,7,1_07,8.0,1.0,1.0,target,main,referred,2,1.5,1.0,1_07_8.0,1.5,-2.25
0118-2,p0,1,1_08,7,7,1_07,9.0,2.0,2.0,ahead_main,main,none,6,5.0,0.0,1_07_9.0,1.5,-1.25
0118-2,p0,1,1_08,7,7,1_07,10.0,3.0,3.0,ahead_main,main,none,4,3.5,0.0,1_07_10.0,1.5,-0.25
0118-2,p0,1,1_08,7,7,1_07,11.0,4.0,4.0,ahead_main,main,none,9,9.0,0.0,1_07_11.0,1.5,0.75
0118-2,p0,1,1_10,9,9,1_09,10.0,1.0,1.0,target,main,none,1,1.0,0.0,1_09_10.0,3.5,-2.25
0118-2,p0,1,1_10,9,9,1_09,10.0,1.0,1.0,target,main,referred,3,2.5,0.5,1_09_10.0,3.5,-2.25
0118-2,p0,1,1_10,9,9,1_09,11.0,2.0,2.0,ahead_main,main,none,9,9.0,0.0,1_09_11.0,3.5,-1.25
0118-2,r0,2,2_02,9,3,2_03,1.0,-2.0,2.0,ahead_main,main,none,4,3.5,0.0,2_03_1.0,3.5,-1.25
0118-2,r0,2,2_02,9,3,2_03,2.0,-1.0,1.0,target,main,none,5,4.5,0.5,2_03_2.0,3.5,-2.25
0118-2,r0,2,2_04,7,5,2_05,1.0,-4.0,4.0,ahead_main,main,none,4,3.5,0.0,2_05_1.0,1.5,0.75
0118-2,r0,2,2_04,7,5,2_05,2.0,-3.0,3.0,ahead_main,main,none,5,4.5,1.5,2_05_2.0,1.5,-0.25
0118-2,r0,2,2_04,7,5,2_05,3.0,-2.0,2.0,ahead_main,main,none,2,2.0,0.0,2_05_3.0,1.5,-1.25
0118-2,r0,2,2_04,7,5,2_05,3.0,-2.0,2.0,ahead_main,main,referred,2,2.0,2.0,2_05_3.0,1.5,-1.25
0118-2,r0,2,2_04,7,5,2_05,4.0,-1.0,1.0,target,main,none,4,4.0,1.0,2_05_4.0,1.5,-2.25
0118-2,r0,2,2_06,5,7,2_07,1.0,-6.0,6.0,ahead_main,main,none,4,3.5,0.0,2_07_1.0,-0.5,2.75
0118-2,r0,2,2_06,5,7,2_07,2.0,-5.0,5.0,ahead_main,main,none,5,4.5,0.5,2_07_2.0,-0.5,1.75
0118-2,r0,2,2_06,5,7,2_07,3.0,-4.0,4.0,ahead_main,main,none,2,2.0,0.0,2_07_3.0,-0.5,0.75
0118-2,r0,2,2_06,5,7,2_07,3.0,-4.0,4.0,ahead_main,main,referred,2,2.0,1.0,2_07_3.0,-0.5,0.75
0118-2,r0,2,2_06,5,7,2_07,4.0,-3.0,3.0,ahead_main,main,none,4,4.0,0.0,2_07_4.0,-0.5,-0.25
0118-2,r0,2,2_06,5,7,2_07,5.0,-2.0,2.0,ahead_main,main,none,10,8.0,2.0,2_07_5.0,-0.5,-1.25
0118-2,r0,2,2_06,5,7,2_07,6.0,-1.0,1.0,target,main,none,5,4.5,0.0,2_07_6.0,-0.5,-2.25
0118-2,r0,2,2_08,3,9,2_09,1.0,-8.0,8.0,ahead_main,main,none,4,3.5,0.0,2_09_1.0,-2.5,4.75
0118-2,r0,2,2_08,3,9,2_09,2.0,-7.0,7.0,ahead_main,main,none,5,4.5,0.0,2_09_2.0,-2.5,3.75
0118-2,r0,2,2_08,3,9,2_09,3.0,-6.0,6.0,ahead_main,main,none,3,3.0,0.0,2_09_3.0,-2.5,2.75
0118-2,r0,2,2_08,3,9,2_09,3.0,-6.0,6.0,ahead_main,main,referred,1,1.0,0.0,2_09_3.0,-2.5,2.75
0118-2,r0,2,2_08,3,9,2_09,4.0,-5.0,5.0,ahead_main,main,none,4,4.0,0.0,2_09_4.0,-2.5,1.75
0118-2,r0,2,2_08,3,9,2_09,5.0,-4.0,4.0,ahead_main,main,none,10,8.0,0.0,2_09_5.0,-2.5,0.75
0118-2,r0,2,2_08,3,9,2_09,6.0,-3.0,3.0,ahead_main,main,none,5,4.5,0.0,2_09_6.0,-2.5,-0.25
0118-2,r0,2,2_08,3,9,2_09,7.0,-2.0,2.0,ahead_main,main,none,5,5.0,0.0,2_09_7.0,-2.5,-1.25
0118-2,r0,2,2_08,3,9,2_09,7.0,-2.0,2.0,ahead_main,main,referred,2,2.0,0.0,2_09_7.0,-2.5,-1.25
0118-2,r0,2,2_08,3,9,2_09,7.0,-2.0,2.0,ahead_main,main,referring,1,1.0,0.0,2_09_7.0,-2.5,-1.25
0118-2,r0,2,2_08,3,9,2_09,8.0,-1.0,1.0,target,main,none,3,2.5,0.0,2_09_8.0,-2.5,-2.25
0118-2,r0,2,2_08,3,9,2_09,8.0,-1.0,1.0,target,main,referring,1,1.0,0.0,2_09_8.0,-2.5,-2.25
0118-2,r0,2,2_10,1,11,2_11,1.0,-10.0,10.0,ahead_main,main,none,4,3.5,0.0,2_11_1.0,-4.5,6.75
0118-2,r0,2,2_10,1,11,2_11,2.0,-9.0,9.0,ahead_main,main,none,5,4.5,0.0,2_11_2.0,-4.5,5.75
0118-2,r0,2,2_10,1,11,2_11,3.0,-8.0,8.0,ahead_main,main,none,3,3.0,0.0,2_11_3.0,-4.5,4.75
0118-2,r0,2,2_10,1,11,2_11,3.0,-8.0,8.0,ahead_main,main,referred,1,1.0,0.0,2_11_3.0,-4.5,4.75
0118-2,r0,2,2_10,1,11,2_11,4.0,-7.0,7.0,ahead_main,main,none,4,4.0,1.0,2_11_4.0,-4.5,3.75
0118-2,r0,2,2_10,1,11,2_11,5.0,-6.0,6.0,ahead_main,main,none,10,8.0,0.0,2_11_5.0,-4.5,2.75
0118-2,r0,2,2_10,1,11,2_11,6.0,-5.0,5.0,ahead_main,main,none,5,4.5,0.0,2_11_6.0,-4.5,1.75
0118-2,r0,2,2_10,1,11,2_11,7.0,-4.0,4.0,ahead_main,main,none,7,7.0,0.0,2_11_7.0,-4.5,0.75
0118-2,r0,2,2_10,1,11,2_11,7.0,-4.0,4.0,ahead_main,main,referred,1,1.0,1.0,2_11_7.0,-4.5,0.75
0118-2,r0,2,2_10,1,11,2_11,8.0,-3.0,3.0,ahead_main,main,none,4,3.5,0.0,2_11_8.0,-4.5,-0.25
0118-2,r0,2,2_10,1,11,2_11,9.0,-2.0,2.0,ahead_main,main,none,4,3.5,0.0,2_11_9.0,-4.5,-1.25
0118-2,r0,2,2_10,1,11,2_11,9.0,-2.0,2.0,ahead_main,main,referred,1,1.0,0.0,2_11_9.0,-4.5,-1.25
0118-2,r0,2,2_10,1,11,2_11,10.0,-1.0,1.0,target,main,none,5,5.0,0.0,2_11_10.0,-4.5,-2.25
0118-2,r0,2,2_10,1,11,2_11,10.0,-1.0,1.0,target,main,referred,1,1.0,0.0,2_11_10.0,-4.5,-2.25
0118-2,r0,2,2_10,1,11,2_11,10.0,-1.0,1.0,target,main,referring,1,0.5,0.0,2_11_10.0,-4.5,-2.25
0118-3,p0,1,1_03,2,2,1_02,3.0,1.0,1.0,target,main,none,4,4.0,0.0,1_02_3.0,-3.5,-2.25
0118-3,p0,1,1_03,2,2,1_02,3.0,1.0,1.0,target,main,referred,1,1.0,0.0,1_02_3.0,-3.5,-2.25
0118-3,p0,1,1_03,2,2,1_02,3.0,1.0,1.0,target,main,referring,1,1.0,0.0,1_02_3.0,-3.5,-2.25
0118-3,p0,1,1_03,2,2,1_02,4.0,2.0,2.0,ahead_main,main,none,9,8.5,0.0,1_02_4.0,-3.5,-1.25
0118-3,p0,1,1_03,2,2,1_02,5.0,3.0,3.0,ahead_main,main,none,8,8.0,0.0,1_02_5.0,-3.5,-0.25
0118-3,p0,1,1_03,2,2,1_02,6.0,4.0,4.0,ahead_main,main,none,8,7.0,0.0,1_02_6.0,-3.5,0.75
0118-3,p0,1,1_03,2,2,1_02,7.0,5.0,5.0,ahead_main,main,none,6,5.5,0.0,1_02_7.0,-3.5,1.75
0118-3,p0,1,1_03,2,2,1_02,8.0,6.0,6.0,ahead_main,main,none,7,5.5,0.0,1_02_8.0,-3.5,2.75
0118-3,p0,1,1_03,2,2,1_02,9.0,7.0,7.0,ahead_main,main,none,6,5.0,0.0,1_02_9.0,-3.5,3.75
0118-3,p0,1,1_03,2,2,1_02,10.0,8.0,8.0,ahead_main,main,none,4,3.5,0.0,1_02_10.0,-3.5,4.75
0118-3,p0,1,1_03,2,2,1_02,11.0,9.0,9.0,ahead_main,main,none,9,9.0,0.0,1_02_11.0,-3.5,5.75
0118-3,p0,1,1_05,4,4,1_04,5.0,1.0,1.0,target,main,none,8,8.0,0.0,1_04_5.0,-1.5,-2.25
0118-3,p0,1,1_05,4,4,1_04,6.0,2.0,2.0,ahead_main,main,none,7,6.5,0.0,1_04_6.0,-1.5,-1.25
0118-3,p0,1,1_05,4,4,1_04,6.0,2.0,2.0,ahead_main,main,referred,1,0.5,0.0,1_04_6.0,-1.5,-1.25
0118-3,p0,1,1_05,4,4,1_04,7.0,3.0,3.0,ahead_main,main,none,6,5.5,0.0,1_04_7.0,-1.5,-0.25
0118-3,p0,1,1_05,4,4,1_04,8.0,4.0,4.0,ahead_main,main,none,7,5.5,0.0,1_04_8.0,-1.5,0.75
0118-3,p0,1,1_05,4,4,1_04,9.0,5.0,5.0,ahead_main,main,none,6,5.0,0.0,1_04_9.0,-1.5,1.75
0118-3,p0,1,1_05,4,4,1_04,10.0,6.0,6.0,ahead_main,main,none,4,3.5,0.0,1_04_10.0,-1.5,2.75
0118-3,p0,1,1_05,4,4,1_04,11.0,7.0,7.0,ahead_main,main,none,9,9.0,0.0,1_04_11.0,-1.5,3.75
0118-3,p0,1,1_07,6,6,1_06,7.0,1.0,1.0,target,main,none,5,4.5,0.0,1_06_7.0,0.5,-2.25
0118-3,p0,1,1_07,6,6,1_06,7.0,1.0,1.0,target,main,referring,1,1.0,0.0,1_06_7.0,0.5,-2.25
0118-3,p0,1,1_07,6,6,1_06,8.0,2.0,2.0,ahead_main,main,none,7,5.5,0.0,1_06_8.0,0.5,-1.25
0118-3,p0,1,1_07,6,6,1_06,9.0,3.0,3.0,ahead_main,main,none,6,5.0,0.0,1_06_9.0,0.5,-0.25
0118-3,p0,1,1_07,6,6,1_06,10.0,4.0,4.0,ahead_main,main,none,4,3.5,0.0,1_06_10.0,0.5,0.75
0118-3,p0,1,1_07,6,6,1_06,11.0,5.0,5.0,ahead_main,main,none,9,9.0,0.0,1_06_11.0,0.5,1.75
0118-3,p0,1,1_09,8,8,1_08,9.0,1.0,1.0,target,main,none,5,4.5,1.5,1_08_9.0,2.5,-2.25
0118-3,p0,1,1_09,8,8,1_08,9.0,1.0,1.0,target,main,referred,1,0.5,0.5,1_08_9.0,2.5,-2.25
0118-3,p0,1,1_09,8,8,1_08,10.0,2.0,2.0,ahead_main,main,none,4,3.5,0.0,1_08_10.0,2.5,-1.25
0118-3,p0,1,1_09,8,8,1_08,11.0,3.0,3.0,ahead_main,main,none,9,9.0,0.0,1_08_11.0,2.5,-0.25
0118-3,p0,1,1_11,10,10,1_10,11.0,1.0,1.0,target,main,none,8,8.0,3.0,1_10_11.0,4.5,-2.25
0118-3,p0,1,1_11,10,10,1_10,11.0,1.0,1.0,target,main,referring,1,1.0,0.0,1_10_11.0,4.5,-2.25
0118-3,r0,2,2_01,10,2,2_02,1.0,-1.0,1.0,target,main,none,3,2.5,0.0,2_02_1.0,4.5,-2.25
0118-3,r0,2,2_01,10,2,2_02,1.0,-1.0,1.0,target,main,referring,1,1.0,0.0,2_02_1.0,4.5,-2.25
0118-3,r0,2,2_03,8,4,2_04,1.0,-3.0,3.0,ahead_main,main,none,4,3.5,0.0,2_04_1.0,2.5,-0.25
0118-3,r0,2,2_03,8,4,2_04,2.0,-2.0,2.0,ahead_main,main,none,5,4.5,0.0,2_04_2.0,2.5,-1.25
0118-3,r0,2,2_03,8,4,2_04,3.0,-1.0,1.0,target,main,none,2,2.0,0.0,2_04_3.0,2.5,-2.25
0118-3,r0,2,2_03,8,4,2_04,3.0,-1.0,1.0,target,main,referred,2,2.0,1.0,2_04_3.0,2.5,-2.25
0118-3,r0,2,2_05,6,6,2_06,1.0,-5.0,5.0,ahead_main,main,none,4,3.5,0.0,2_06_1.0,0.5,1.75
0118-3,r0,2,2_05,6,6,2_06,2.0,-4.0,4.0,ahead_main,main,none,5,4.5,0.5,2_06_2.0,0.5,0.75
0118-3,r0,2,2_05,6,6,2_06,3.0,-3.0,3.0,ahead_main,main,none,2,2.0,0.0,2_06_3.0,0.5,-0.25
0118-3,r0,2,2_05,6,6,2_06,3.0,-3.0,3.0,ahead_main,main,referred,2,2.0,1.0,2_06_3.0,0.5,-0.25
0118-3,r0,2,2_05,6,6,2_06,4.0,-2.0,2.0,ahead_main,main,none,4,4.0,0.0,2_06_4.0,0.5,-1.25
0118-3,r0,2,2_05,6,6,2_06,5.0,-1.0,1.0,target,main,none,10,8.0,0.0,2_06_5.0,0.5,-2.25
0118-3,r0,2,2_07,4,8,2_08,1.0,-7.0,7.0,ahead_main,main,none,4,3.5,0.0,2_08_1.0,-1.5,3.75
0118-3,r0,2,2_07,4,8,2_08,2.0,-6.0,6.0,ahead_main,main,none,5,4.5,0.0,2_08_2.0,-1.5,2.75
0118-3,r0,2,2_07,4,8,2_08,3.0,-5.0,5.0,ahead_main,main,none,3,3.0,0.0,2_08_3.0,-1.5,1.75
0118-3,r0,2,2_07,4,8,2_08,3.0,-5.0,5.0,ahead_main,main,referred,1,1.0,0.0,2_08_3.0,-1.5,1.75
0118-3,r0,2,2_07,4,8,2_08,4.0,-4.0,4.0,ahead_main,main,none,4,4.0,0.0,2_08_4.0,-1.5,0.75
0118-3,r0,2,2_07,4,8,2_08,5.0,-3.0,3.0,ahead_main,main,none,10,8.0,0.0,2_08_5.0,-1.5,-0.25
0118-3,r0,2,2_07,4,8,2_08,6.0,-2.0,2.0,ahead_main,main,none,5,4.5,0.0,2_08_6.0,-1.5,-1.25
0118-3,r0,2,2_07,4,8,2_08,7.0,-1.0,1.0,target,main,none,5,5.0,0.0,2_08_7.0,-1.5,-2.25
0118-3,r0,2,2_07,4,8,2_08,7.0,-1.0,1.0,target,main,referred,2,2.0,0.0,2_08_7.0,-1.5,-2.25
0118-3,r0,2,2_07,4,8,2_08,7.0,-1.0,1.0,target,main,referring,1,1.0,0.0,2_08_7.0,-1.5,-2.25
0118-3,r0,2,2_09,2,10,2_10,1.0,-9.0,9.0,ahead_main,main,none,4,3.5,0.0,2_10_1.0,-3.5,5.75
0118-3,r0,2,2_09,2,10,2_10,2.0,-8.0,8.0,ahead_main,main,none,5,4.5,0.0,2_10_2.0,-3.5,4.75
0118-3,r0,2,2_09,2,10,2_10,3.0,-7.0,7.0,ahead_main,main,none,3,3.0,0.0,2_10_3.0,-3.5,3.75
0118-3,r0,2,2_09,2,10,2_10,3.0,-7.0,7.0,ahead_main,main,referred,1,1.0,0.0,2_10_3.0,-3.5,3.75
0118-3,r0,2,2_09,2,10,2_10,4.0,-6.0,6.0,ahead_main,main,none,4,4.0,0.0,2_10_4.0,-3.5,2.75
0118-3,r0,2,2_09,2,10,2_10,5.0,-5.0,5.0,ahead_main,main,none,10,8.0,0.0,2_10_5.0,-3.5,1.75
0118-3,r0,2,2_09,2,10,2_10,6.0,-4.0,4.0,ahead_main,main,none,5,4.5,0.0,2_10_6.0,-3.5,0.75
0118-3,r0,2,2_09,2,10,2_10,7.0,-3.0,3.0,ahead_main,main,none,6,6.0,0.0,2_10_7.0,-3.5,-0.25
0118-3,r0,2,2_09,2,10,2_10,7.0,-3.0,3.0,ahead_main,main,referred,1,1.0,0.0,2_10_7.0,-3.5,-0.25
0118-3,r0,2,2_09,2,10,2_10,7.0,-3.0,3.0,ahead_main,main,referring,1,1.0,0.0,2_10_7.0,-3.5,-0.25
0118-3,r0,2,2_09,2,10,2_10,8.0,-2.0,2.0,ahead_main,main,none,3,2.5,0.0,2_10_8.0,-3.5,-1.25
0118-3,r0,2,2_09,2,10,2_10,8.0,-2.0,2.0,ahead_main,main,referring,1,1.0,0.0,2_10_8.0,-3.5,-1.25
0118-3,r0,2,2_09,2,10,2_10,9.0,-1.0,1.0,target,main,none,4,3.5,0.0,2_10_9.0,-3.5,-2.25
0118-3,r0,2,2_09,2,10,2_10,9.0,-1.0,1.0,target,main,referred,1,1.0,0.0,2_10_9.0,-3.5,-2.25
0120-1,p0,2,2_03,2,2,2_02,3.0,1.0,1.0,target,main,none,4,4.0,0.0,2_02_3.0,-3.5,-2.25
0120-1,p0,2,2_03,2,2,2_02,4.0,2.0,2.0,ahead_main,main,none,4,4.0,0.0,2_02_4.0,-3.5,-1.25
0120-1,p0,2,2_03,2,2,2_02,5.0,3.0,3.0,ahead_main,main,none,10,8.0,0.0,2_02_5.0,-3.5,-0.25
0120-1,p0,2,2_03,2,2,2_02,6.0,4.0,4.0,ahead_main,main,none,5,4.5,0.0,2_02_6.0,-3.5,0.75
0120-1,p0,2,2_03,2,2,2_02,7.0,5.0,5.0,ahead_main,main,none,8,8.0,0.0,2_02_7.0,-3.5,1.75
0120-1,p0,2,2_03,2,2,2_02,8.0,6.0,6.0,ahead_main,main,none,4,3.5,0.0,2_02_8.0,-3.5,2.75
0120-1,p0,2,2_03,2,2,2_02,9.0,7.0,7.0,ahead_main,main,none,5,4.5,0.0,2_02_9.0,-3.5,3.75
0120-1,p0,2,2_03,2,2,2_02,10.0,8.0,8.0,ahead_main,main,none,7,6.5,0.0,2_02_10.0,-3.5,4.75
0120-1,p0,2,2_03,2,2,2_02,11.0,9.0,9.0,ahead_main,main,none,9,8.0,0.0,2_02_11.0,-3.5,5.75
